,feature,VIF
0,Income (USD),6.608540570222476
1,Rent (USD),5.855435216312928
2,Groceries (USD),6.757806581502954
3,Eating Out (USD),4.8404507651906785
4,Entertainment (USD),4.354696468406912
5,Subscription Services (USD),5.002664671115603
6,Education (USD),3.8830313329411412
7,Online Shopping (USD),4.047144884692027
8,Savings (USD),4.327410504601068
9,Investments (USD),3.6651978222546306
10,Travel (USD),4.078542239791634
11,Fitness (USD),4.426104112828665
12,Miscellaneous (USD),4.357026313736192
